,QQQ,SPY,TLT
2015-01-02,0.0,0.0,0.0
2015-01-05,-0.014668428871478345,-0.018059413542183322,0.0
2015-01-06,-0.027880451720394217,-0.02730850608692381,0.0
2015-01-07,-0.015348719017925783,-0.015187397247004575,-0.0019750781901843872
2015-01-08,0.0,0.0,-0.015192000669566164
2015-01-09,-0.006582988892355535,-0.008013461692138013,-0.004405562091033488
2015-01-12,-0.01694115530583662,-0.015784771854510993,0.0
2015-01-13,-0.01723164624516149,-0.018552869884895573,0.0
2015-01-14,-0.022652751692890716,-0.024477975978317468,0.0
2015-01-15,-0.035334444057605,-0.03341440547459318,0.0
2015-01-16,-0.02400802805482294,-0.020738318761436836,-0.012749180424098894
2015-01-20,-0.016263557281207208,-0.018649694702044806,0.0
2015-01-21,-0.011229398293436166,-0.013696058308226844,-0.011559217043573877
2015-01-22,0.0,0.0,-0.015115645165477476
2015-01-23,0.0,-0.005482548481209104,-0.001407824802386104
2015-01-26,-0.0011511054702578738,-0.003153766147663606,-0.004445592755685235
2015-01-27,-0.027047954770610727,-0.016302727935750827,-0.0028891514234237192
2015-01-28,-0.032035362316534366,-0.028917792526404917,0.0
2015-01-29,-0.022731826482746742,-0.019941668244577992,-0.006580138535853819
2015-01-30,-0.030309022403826158,-0.03226591441874693,0.0
2015-02-02,-0.02186853716663839,-0.020281209697332714,-0.0037757525325166075
2015-02-03,-0.012469115663580888,-0.006113176550648913,-0.024862097328960497
2015-02-04,-0.013332086687011135,-0.009897838967951711,-0.023195953760561605
2015-02-05,-0.004796272792740197,0.0,-0.03392053019151531
2015-02-06,-0.01083866142014267,-0.0027651442893463773,-0.051021383412639953
2015-02-09,-0.014003525091410118,-0.007228457073979788,-0.05254352816001495
2015-02-10,0.0,0.0,-0.06007966635450657
2015-02-11,0.0,0.0,-0.05834096117301513
2015-02-12,0.0,0.0,-0.06145631307397559
2015-02-13,0.0,0.0,-0.07109388955507778
2015-02-17,0.0,0.0,-0.08507946583558612
2015-02-18,0.0,0.0,-0.0796448408880489
2015-02-19,0.0,-0.0007138474747941936,-0.0857316957896348
2015-02-20,0.0,0.0,-0.08305021436034765
2015-02-23,0.0,-0.00014200186695823014,-0.07254347268936023
2015-02-24,0.0,0.0,-0.06036983784653316
2015-02-25,-0.002486292769873444,-0.0008498052511508591,-0.0563118596184653
2015-02-26,0.0,-0.0020299115094286613,-0.06920991122671316
2015-02-27,-0.004408590663674938,-0.0054295674640023606,-0.06138405130225988
2015-03-02,0.0,0.0,-0.07886720227831467
2015-03-03,-0.0046623273272496935,-0.004104352524091581,-0.08220683552883434
2015-03-04,-0.008502533489358588,-0.008302313698143937,-0.08191651411611967
2015-03-05,-0.0067652251318017775,-0.00721751373513535,-0.0830780246480105
2015-03-06,-0.018010362109520894,-0.021180325982345316,-0.10333478331625601
2015-03-09,-0.015176209562545728,-0.017123603486274508,-0.09505773708064069
2015-03-10,-0.03346137054477705,-0.03306792919848478,-0.0831509610628236
2015-03-11,-0.03903820242854572,-0.035332006935557714,-0.07647116983937585
2015-03-12,-0.03272966071175598,-0.023067448552399283,-0.0771241493968653
2015-03-13,-0.03693530462399364,-0.029058141401558824,-0.07995615119711275
2015-03-16,-0.024501395156076744,-0.0160860858868489,-0.07109906181882142
2015-03-17,-0.02294726076418263,-0.019010291475780705,-0.0634022836069148
2015-03-18,-0.013347807236972598,-0.007217513735135572,-0.04532394749867452
2015-03-19,-0.011885146055260032,-0.011746016873719789,-0.050188124227580344
2015-03-20,-0.005489151095236622,-0.0030227684571357827,-0.045178374510424724
2015-03-23,-0.007413501688538493,-0.00496577808561538,-0.0463404097647242
2015-03-24,-0.01098717645713243,-0.010556569914840552,-0.03711961279684017
2015-03-25,-0.03362110734464707,-0.025056089138380866,-0.045251235964893666
2015-03-26,-0.03691967984679878,-0.027377618423851335,-0.06013543685052014
2015-03-27,-0.03307090281176295,-0.025150740781656022,-0.04844552110819578
2015-03-30,-0.02198315133249118,-0.013257661850616387,-0.0531654741350458
2015-03-31,-0.03233782770694804,-0.021881217489572835,-0.05113187495984939
2015-04-01,-0.03737788023047084,-0.02534030481653471,-0.038669193030157145
2015-04-02,-0.0367363541842709,-0.021833761293770904,-0.04885517938872386
2015-04-06,-0.02885585369383492,-0.015247866926569431,-0.054166269689177704
2015-04-07,-0.03050517786912732,-0.017853785722412696,-0.04623599000538747
2015-04-08,-0.022807851344353813,-0.014536980066746752,-0.04594514387026394
2015-04-09,-0.016668679178422963,-0.010177702593411886,-0.05831337576638507
2015-04-10,-0.012636424783992406,-0.004776127134627273,-0.056930807179731535
2015-04-13,-0.015110828213312444,-0.009277338614819941,-0.05562124996823525
2015-04-14,-0.01795120033179265,-0.00738204593047076,-0.04892789092250471
