,Strategy A,Strategy B,Strategy C
2015-01-02,0.0,0.0,0.0
2015-01-05,-0.014668428871478345,-0.016363921206830834,-0.004552116595749944
2015-01-06,-0.027880451720394217,-0.027591096812023874,-0.003003843236391912
2015-01-07,-0.015348719017925783,-0.015264571722628184,0.0
2015-01-08,0.0,0.0,0.0
2015-01-09,-0.006582988892355535,-0.007298225292246774,-0.00042694339903837086
2015-01-12,-0.01694115530583662,-0.016362036377161382,-0.0028377121175352515
2015-01-13,-0.01723164624516149,-0.017890604649874464,-0.004520419041464274
2015-01-14,-0.022652751692890716,-0.023563892045782464,-0.005105483475752792
2015-01-15,-0.035334444057605,-0.034371228475943094,-0.004311629372191983
2015-01-16,-0.02400802805482294,-0.022370596450858038,-0.0015546642175638947
2015-01-20,-0.016263557281207208,-0.017449293252430276,0.0
2015-01-21,-0.011229398293436166,-0.012455399817160262,-0.0015950212937677621
2015-01-22,0.0,0.0,0.0
2015-01-23,0.0,-0.0016356323247177507,0.0
2015-01-26,-0.0011511054702578738,-0.0010413484917781712,0.0
2015-01-27,-0.027047954770610727,-0.02057960884152743,-0.007288980427357372
2015-01-28,-0.032035362316534366,-0.02936999981980626,-0.008435821126889231
2015-01-29,-0.022731826482746742,-0.020219450745472156,-0.005546404299667462
2015-01-30,-0.030309022403826158,-0.030178165018518777,-0.0059938582327351275
2015-02-02,-0.02186853716663839,-0.019952072875395466,-0.00010906734101612248
2015-02-03,-0.012469115663580888,-0.008156757475381804,0.0
2015-02-04,-0.013332086687011135,-0.010478567492488211,-0.001601315206689935
2015-02-05,-0.004796272792740197,-0.0012038742411142334,0.0
2015-02-06,-0.01083866142014267,-0.005616881897000714,-0.008739602723905504
2015-02-09,-0.014003525091410118,-0.009432942032612135,-0.01203753209228009
2015-02-10,0.0,0.0,-0.008865849114153224
2015-02-11,0.0,0.0,-0.0077873476017591425
2015-02-12,0.0,0.0,-0.0033752746087504226
2015-02-13,0.0,0.0,-0.0050075111910515835
2015-02-17,0.0,0.0,-0.01006057267142857
2015-02-18,0.0,0.0,-0.007651807293139079
2015-02-19,0.0,0.0,-0.010702033468385497
2015-02-20,0.0,0.0,-0.0059797131239974766
2015-02-23,0.0,0.0,-0.0015084674469966197
2015-02-24,0.0,0.0,0.0
2015-02-25,-0.002486292769873444,-0.001668049010512429,0.0
2015-02-26,0.0,0.0,-0.006175748192225772
2015-02-27,-0.004408590663674938,-0.003907580827956725,-0.004864733490452577
2015-03-02,0.0,0.0,-0.008509177216683317
2015-03-03,-0.0046623273272496935,-0.004383339925670526,-0.012388722466917579
2015-03-04,-0.008502533489358588,-0.008402373785046602,-0.014761584031144692
2015-03-05,-0.0067652251318017775,-0.006991286601468416,-0.014613532014989383
2015-03-06,-0.018010362109520894,-0.019595572375944892,-0.031636521406888996
2015-03-09,-0.015176209562545728,-0.01614913840894161,-0.025652934452864873
2015-03-10,-0.03346137054477705,-0.03326275354020558,-0.03000852382238184
2015-03-11,-0.03903820242854572,-0.03718355325958811,-0.028544482425363782
2015-03-12,-0.03272966071175598,-0.027902685548957806,-0.021408716834063868
2015-03-13,-0.03693530462399364,-0.032996522465945866,-0.026210425133871285
2015-03-16,-0.024501395156076744,-0.020294422551604074,-0.014654568295722759
2015-03-17,-0.02294726076418263,-0.02096985332338619,-0.013145855737019763
2015-03-18,-0.013347807236972598,-0.010275802012679525,0.0
2015-03-19,-0.011885146055260032,-0.01179947086941846,-0.004774898011111528
2015-03-20,-0.005489151095236622,-0.004239807813848917,0.0
2015-03-23,-0.007413501688538493,-0.006173510702410789,-0.0016561476849735746
2015-03-24,-0.01098717645713243,-0.010754583272661433,-0.001160643200777689
2015-03-25,-0.03362110734464707,-0.02932251895408844,-0.013317088841985791
2015-03-26,-0.03691967984679878,-0.03213482650799093,-0.020879595355310365
2015-03-27,-0.03307090281176295,-0.02909288422460854,-0.014663272240598713
2015-03-30,-0.02198315133249118,-0.017603708009376495,-0.00940566578238089
2015-03-31,-0.03233782770694804,-0.027097016560580944,-0.013748963318011231
2015-04-01,-0.03737788023047084,-0.031351012067798445,-0.010660199851609709
2015-04-02,-0.0367363541842709,-0.029285781414940204,-0.012717689533036647
2015-04-06,-0.02885585369383492,-0.022047194110119794,-0.010934477620778704
2015-04-07,-0.03050517786912732,-0.02417160085086678,-0.009187776028924621
2015-04-08,-0.022807851344353813,-0.018650059915852668,-0.007059275518505603
2015-04-09,-0.016668679178422963,-0.01339687178876281,-0.009572799198616977
2015-04-10,-0.012636424783992406,-0.008682032355965874,-0.005748221831305633
2015-04-13,-0.015110828213312444,-0.01216596196575448,-0.007894058772122348
2015-04-14,-0.01795120033179265,-0.012645511134698029,-0.003942643684702207
2015-04-15,-0.011811800620562973,-0.007344070857178586,-0.0015961840714017184
2015-04-16,-0.013186477620010906,-0.008176081890961084,-0.0037545919843794406
2015-04-17,-0.028580827275825893,-0.021617165891679835,-0.006062041074368363
2015-04-20,-0.014010722541275777,-0.00981011413277888,-0.004121540197903117
2015-04-21,-0.009795900968646465,-0.008283509315841542,-0.006637151547178699
2015-04-22,-0.004389500513798605,-0.0031395061817695025,-0.009774264000915522
2015-04-23,-0.0006326517795420816,-4.54807857019901e-06,-0.006573523146905957
2015-04-24,0.0,0.0,-0.0027122832508091888
2015-04-27,-0.0025329001459567513,-0.0033452470115554744,-0.005200073633759739
2015-04-28,-0.004523142946742498,-0.002755519387137584,-0.00879028773444579
2015-04-29,-0.0107650877012746,-0.007933628710813823,-0.016096580578298547
2015-04-30,-0.02632505886338332,-0.020706287096348253,-0.021323380268391534
2015-05-01,-0.013478898589046051,-0.008937879211438293,-0.02022707947808644
2015-05-04,-0.01185085167325961,-0.006709064807144727,-0.022250765463687983
2015-05-05,-0.027953629941087188,-0.020489801620541814,-0.02951060414719875
