portfolio_id,annualized_return_%,annualized_volatility_%,sharpe_ratio,SPY_weight_%,QQQ_weight_%,TLT_weight_%
1,10.9997,12.975,0.6166,33.7425,32.7879,33.4696
2,3.026,12.0685,0.0022,15.3827,4.7522,79.8651
3,17.3176,19.8404,0.7216,30.5613,67.72,1.7187
4,7.1747,10.5004,0.3976,47.4411,3.1929,49.366
5,9.3808,11.7457,0.5432,51.6844,11.5498,36.7659
6,6.9408,10.7611,0.3662,27.4336,16.3376,56.2288
7,7.9747,10.9483,0.4544,35.1815,16.1223,48.6961
8,11.7294,13.6644,0.6388,6.7985,55.8886,37.313
9,11.2241,13.2325,0.6215,42.9691,27.3284,29.7025
10,4.7967,11.5928,0.155,8.182,19.0686,72.7493
11,12.6156,14.4112,0.6672,16.4599,53.5368,30.0033
12,9.0904,11.7361,0.5189,17.7484,34.3948,47.8568
13,7.0938,10.9183,0.3749,22.2595,20.8403,56.9002
14,9.8766,12.3079,0.5587,9.8278,44.1402,46.032
15,7.1561,10.4949,0.396,47.3155,3.1874,49.4971
16,14.6686,17.0156,0.6858,49.1338,40.7063,10.1599
17,9.0816,11.5211,0.5279,38.1596,19.7062,42.1342
18,2.3201,13.2532,-0.0513,1.406,11.1307,87.4633
19,13.6752,16.765,0.6368,82.5001,11.6353,5.8645
20,14.0515,16.2098,0.6818,44.7555,40.6582,14.5864
21,10.4732,12.5439,0.5958,27.3085,34.6825,38.009
22,12.6044,14.8752,0.6457,58.5989,23.2487,18.1524
23,15.4139,18.2431,0.6805,62.0952,35.2594,2.6453
24,8.1706,11.0889,0.4663,30.9987,20.1359,48.8654
25,14.32,17.5984,0.6432,84.1557,13.7798,2.0645
26,14.4496,16.3232,0.7014,21.5109,59.3913,19.0977
27,10.4887,12.6443,0.5923,50.7615,17.9377,31.3008
28,11.6559,13.746,0.6297,51.0505,23.762,25.1875
29,1.396,13.6989,-0.1171,6.23,2.8944,90.8756
30,7.7121,11.0075,0.4281,25.3497,21.819,52.8313
31,11.6617,13.6211,0.6359,5.5119,56.4616,38.0265
32,7.9383,10.9897,0.4494,31.0356,18.9085,50.0559
