,Max Sharpe Portfolio,Min Volatility Portfolio
2015-01-02,0.0,0.0
2015-01-05,-0.01438870310477569,0.0
2015-01-06,-0.02731399563391501,0.0
2015-01-07,-0.014909562890392913,0.0
2015-01-08,0.0,0.0
2015-01-09,-0.006421136764854896,0.0
2015-01-12,-0.016630134102887162,-0.0003342502793470814
2015-01-13,-0.016919780844438015,-0.0015858582122730835
2015-01-14,-0.022223335509380382,-8.350302507609264e-05
2015-01-15,-0.03464720053624415,0.0
2015-01-16,-0.02353135535082529,-0.001204086159470874
2015-01-20,-0.01573858173030651,0.0
2015-01-21,-0.010854237845846493,-0.004144708302045608
2015-01-22,0.0,0.0
2015-01-23,0.0,0.0
2015-01-26,-0.0011661808447368527,-0.0006435021325251755
2015-01-27,-0.02679855184016755,-0.005682416487132413
2015-01-28,-0.03159846920451559,-0.002366463813319619
2015-01-29,-0.02243662178883976,-0.001882581796923688
2015-01-30,-0.029788016887574154,0.0
2015-02-02,-0.0214529144779394,0.0
2015-02-03,-0.012325828307049203,-0.00526689363186128
2015-02-04,-0.01316729818036555,-0.00601300968863816
2015-02-05,-0.004808968561995752,-0.007576172840600748
2015-02-06,-0.010956433389548104,-0.018530194878330852
2015-02-09,-0.014107162129673556,-0.02136099284774895
2015-02-10,0.0,-0.021008164348261138
2015-02-11,0.0,-0.019747716674699323
2015-02-12,0.0,-0.01733124239154571
2015-02-13,0.0,-0.02110458116964986
2015-02-17,0.0,-0.028576099812562816
2015-02-18,0.0,-0.02533883144854565
2015-02-19,0.0,-0.029209574779717418
2015-02-20,0.0,-0.02503184672639358
2015-02-23,0.0,-0.01890816520185168
2015-02-24,0.0,-0.010538539837577354
2015-02-25,-0.002421923213391741,-0.008550928795025059
2015-02-26,0.0,-0.01656563805192235
2015-02-27,-0.004288840077331324,-0.013485869332120481
2015-03-02,0.0,-0.020872481164696866
2015-03-03,-0.004652300659235498,-0.024632466298173727
2015-03-04,-0.008454206499330486,-0.026296778089712203
2015-03-05,-0.006745066299941649,-0.02650220410085702
2015-03-06,-0.01809173122405361,-0.04451584213088178
2015-03-09,-0.015199069916038366,-0.037867391355050684
2015-03-10,-0.03319198701865167,-0.03783160614518122
2015-03-11,-0.03865077924799876,-0.03496195577637162
2015-03-12,-0.032400414018166734,-0.029870476953894443
2015-03-13,-0.03659722216694428,-0.03417185012286539
2015-03-16,-0.024188024200734848,-0.023264737132914548
2015-03-17,-0.02257590543731003,-0.020074453694050254
2015-03-18,-0.012885238113197306,-0.0043482833595539505
2015-03-19,-0.0114864446745635,-0.00917528209709273
2015-03-20,-0.0050972150077196465,-0.002381099993141178
2015-03-23,-0.007015699564819178,-0.0039211806038744745
2015-03-24,-0.010469855413965723,-0.001085886403136005
2015-03-25,-0.032977108946211864,-0.012302863187952928
2015-03-26,-0.0363865317152301,-0.021877657779636128
2015-03-27,-0.03246124396699834,-0.014141199097587931
2015-03-30,-0.021513618148064295,-0.011479317116404153
2015-03-31,-0.03175623923022508,-0.014163769462135933
2015-04-01,-0.03663321259656116,-0.008555372932474326
