,Strategy A,Strategy B,Strategy C,Max Sharpe,Min Volatility
2015-01-02,0.0,0.0,0.0,0.0,0.0
2015-01-05,-0.014668428871478345,-0.016363921206830834,-0.004552116595749944,-0.01438870310477569,0.0
2015-01-06,-0.027880451720394217,-0.027591096812023874,-0.003003843236391912,-0.02731399563391501,0.0
2015-01-07,-0.015348719017925783,-0.015264571722628184,0.0,-0.014909562890392913,0.0
2015-01-08,0.0,0.0,0.0,0.0,0.0
2015-01-09,-0.006582988892355535,-0.007298225292246774,-0.00042694339903837086,-0.006421136764854896,0.0
2015-01-12,-0.01694115530583662,-0.016362036377161382,-0.0028377121175352515,-0.016630134102887162,-0.0003342502793470814
2015-01-13,-0.01723164624516149,-0.017890604649874464,-0.004520419041464274,-0.016919780844438015,-0.0015858582122730835
2015-01-14,-0.022652751692890716,-0.023563892045782464,-0.005105483475752792,-0.022223335509380382,-8.350302507609264e-05
2015-01-15,-0.035334444057605,-0.034371228475943094,-0.004311629372191983,-0.03464720053624415,0.0
2015-01-16,-0.02400802805482294,-0.022370596450858038,-0.0015546642175638947,-0.02353135535082529,-0.001204086159470874
2015-01-20,-0.016263557281207208,-0.017449293252430276,0.0,-0.01573858173030651,0.0
2015-01-21,-0.011229398293436166,-0.012455399817160262,-0.0015950212937677621,-0.010854237845846493,-0.004144708302045608
2015-01-22,0.0,0.0,0.0,0.0,0.0
2015-01-23,0.0,-0.0016356323247177507,0.0,0.0,0.0
2015-01-26,-0.0011511054702578738,-0.0010413484917781712,0.0,-0.0011661808447368527,-0.0006435021325251755
2015-01-27,-0.027047954770610727,-0.02057960884152743,-0.007288980427357372,-0.02679855184016755,-0.005682416487132413
2015-01-28,-0.032035362316534366,-0.02936999981980626,-0.008435821126889231,-0.03159846920451559,-0.002366463813319619
2015-01-29,-0.022731826482746742,-0.020219450745472156,-0.005546404299667462,-0.02243662178883976,-0.001882581796923688
2015-01-30,-0.030309022403826158,-0.030178165018518777,-0.0059938582327351275,-0.029788016887574154,0.0
2015-02-02,-0.02186853716663839,-0.019952072875395466,-0.00010906734101612248,-0.0214529144779394,0.0
2015-02-03,-0.012469115663580888,-0.008156757475381804,0.0,-0.012325828307049203,-0.00526689363186128
2015-02-04,-0.013332086687011135,-0.010478567492488211,-0.001601315206689935,-0.01316729818036555,-0.00601300968863816
2015-02-05,-0.004796272792740197,-0.0012038742411142334,0.0,-0.004808968561995752,-0.007576172840600748
2015-02-06,-0.01083866142014267,-0.005616881897000714,-0.008739602723905504,-0.010956433389548104,-0.018530194878330852
2015-02-09,-0.014003525091410118,-0.009432942032612135,-0.01203753209228009,-0.014107162129673556,-0.02136099284774895
2015-02-10,0.0,0.0,-0.008865849114153224,0.0,-0.021008164348261138
2015-02-11,0.0,0.0,-0.0077873476017591425,0.0,-0.019747716674699323
2015-02-12,0.0,0.0,-0.0033752746087504226,0.0,-0.01733124239154571
2015-02-13,0.0,0.0,-0.0050075111910515835,0.0,-0.02110458116964986
2015-02-17,0.0,0.0,-0.01006057267142857,0.0,-0.028576099812562816
2015-02-18,0.0,0.0,-0.007651807293139079,0.0,-0.02533883144854565
2015-02-19,0.0,0.0,-0.010702033468385497,0.0,-0.029209574779717418
2015-02-20,0.0,0.0,-0.0059797131239974766,0.0,-0.02503184672639358
2015-02-23,0.0,0.0,-0.0015084674469966197,0.0,-0.01890816520185168
2015-02-24,0.0,0.0,0.0,0.0,-0.010538539837577354
2015-02-25,-0.002486292769873444,-0.001668049010512429,0.0,-0.002421923213391741,-0.008550928795025059
2015-02-26,0.0,0.0,-0.006175748192225772,0.0,-0.01656563805192235
2015-02-27,-0.004408590663674938,-0.003907580827956725,-0.004864733490452577,-0.004288840077331324,-0.013485869332120481
2015-03-02,0.0,0.0,-0.008509177216683317,0.0,-0.020872481164696866
2015-03-03,-0.0046623273272496935,-0.004383339925670526,-0.012388722466917579,-0.004652300659235498,-0.024632466298173727
2015-03-04,-0.008502533489358588,-0.008402373785046602,-0.014761584031144692,-0.008454206499330486,-0.026296778089712203
2015-03-05,-0.0067652251318017775,-0.006991286601468416,-0.014613532014989383,-0.006745066299941649,-0.02650220410085702
2015-03-06,-0.018010362109520894,-0.019595572375944892,-0.031636521406888996,-0.01809173122405361,-0.04451584213088178
2015-03-09,-0.015176209562545728,-0.01614913840894161,-0.025652934452864873,-0.015199069916038366,-0.037867391355050684
2015-03-10,-0.03346137054477705,-0.03326275354020558,-0.03000852382238184,-0.03319198701865167,-0.03783160614518122
2015-03-11,-0.03903820242854572,-0.03718355325958811,-0.028544482425363782,-0.03865077924799876,-0.03496195577637162
2015-03-12,-0.03272966071175598,-0.027902685548957806,-0.021408716834063868,-0.032400414018166734,-0.029870476953894443
2015-03-13,-0.03693530462399364,-0.032996522465945866,-0.026210425133871285,-0.03659722216694428,-0.03417185012286539
2015-03-16,-0.024501395156076744,-0.020294422551604074,-0.014654568295722759,-0.024188024200734848,-0.023264737132914548
2015-03-17,-0.02294726076418263,-0.02096985332338619,-0.013145855737019763,-0.02257590543731003,-0.020074453694050254
2015-03-18,-0.013347807236972598,-0.010275802012679525,0.0,-0.012885238113197306,-0.0043482833595539505
2015-03-19,-0.011885146055260032,-0.01179947086941846,-0.004774898011111528,-0.0114864446745635,-0.00917528209709273
